Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Communication skills,Logical quotient rating,hackathons,Extra-courses did,certifications,workshops,interestedsubjects,interestedcareerarea ,Job/Higher Studies?,interested in games,Management or Technical,Introvert,JobRole
93,79,83,63,61,68,3,6,yes,hadoop,cloud computing,data engineering,cloud computing,higherstudies,yes,Technical,no,Mobile Applications Developer
61,67,84,83,64,86,9,1,no,app development,game development,IOT,system developer,higherstudies,no,Management,yes,Mobile Applications Developer
66,91,60,89,92,82,3,1,no,r programming,hacking,Computer Architecture,cloud computing,job,no,Management,yes,Mobile Applications Developer
83,75,86,68,80,93,8,2,no,machine learning,database security,programming,developer,higherstudies,yes,Management,no,Mobile Applications Developer
77,82,82,74,94,69,4,2,no,information security,testing,hacking,system developer,higherstudies,no,Management,yes,Mobile Applications Developer
68,78,78,75,79,74,1,4,no,distro making,data science,Software Engineering,cloud computing,job,yes,Technical,no,Mobile Applications Developer
68,65,89,81,94,62,2,1,no,shell programming,cloud computing,cloud computing,security,job,yes,Technical,yes,Mobile Applications Developer
94,84,83,64,76,90,2,0,no,machine learning,database security,parallel computing,system developer,higherstudies,yes,Technical,yes,Mobile Applications Developer
93,91,61,71,70,82,9,3,no,shell programming,data science,parallel computing,cloud computing,higherstudies,yes,Technical,no,Mobile Applications Developer
81,73,82,64,68,86,5,1,yes,r programming,data science,Computer Architecture,system developer,higherstudies,yes,Management,yes,Mobile Applications Developer
72,75,69,81,90,72,1,5,yes,hadoop,hacking,Management,system developer,job,yes,Management,yes,Mobile Applications Developer
71,82,81,82,92,64,3,1,no,shell programming,system designing,Computer Architecture,security,job,yes,Management,no,Mobile Applications Developer
69,91,69,67,76,85,3,5,yes,r programming,data science,programming,testing,job,no,Management,no,Mobile Applications Developer
68,66,77,87,74,67,9,6,no,r programming,system designing,Computer Architecture,Business process analyst,job,no,Management,yes,Mobile Applications Developer
74,68,67,60,80,61,9,3,no,r programming,hacking,IOT,developer,higherstudies,no,Technical,no,Mobile Applications Developer
75,83,74,66,65,74,6,1,no,machine learning,system designing,programming,system developer,job,no,Technical,no,Mobile Applications Developer
85,89,89,73,62,92,4,6,no,shell programming,testing,Computer Architecture,cloud computing,higherstudies,yes,Technical,no,Mobile Applications Developer
84,94,89,68,86,79,1,5,yes,python,hacking,parallel computing,Business process analyst,job,yes,Technical,no,Mobile Applications Developer
93,71,78,94,81,73,2,6,no,information security,hacking,Computer Architecture,system developer,higherstudies,no,Technical,yes,Mobile Applications Developer
67,60,61,68,71,92,9,5,yes,r programming,web technologies,IOT,system developer,higherstudies,yes,Technical,no,Mobile Applications Developer
81,65,86,93,81,88,5,6,yes,information security,web technologies,Management,testing,higherstudies,yes,Technical,yes,Mobile Applications Developer
63,87,75,69,88,93,7,0,no,machine learning,cloud computing,programming,testing,job,yes,Management,yes,Mobile Applications Developer
86,87,88,82,93,72,3,3,yes,r programming,cloud computing,Computer Architecture,cloud computing,higherstudies,yes,Technical,yes,Mobile Applications Developer
76,73,71,88,91,81,5,1,no,information security,cloud computing,Management,security,higherstudies,no,Management,yes,Mobile Applications Developer
67,60,90,90,73,80,8,6,yes,shell programming,cloud computing,data engineering,cloud computing,higherstudies,yes,Management,yes,Mobile Applications Developer
91,93,79,92,76,78,7,1,yes,distro making,database security,hacking,Business process analyst,higherstudies,yes,Technical,no,Mobile Applications Developer
74,82,76,65,89,78,9,0,no,distro making,game development,networks,developer,higherstudies,no,Technical,no,Mobile Applications Developer
62,82,84,92,76,94,2,3,yes,information security,system designing,IOT,developer,job,yes,Management,no,Mobile Applications Developer
73,85,70,91,64,72,7,6,no,shell programming,hacking,data engineering,security,job,yes,Management,yes,Mobile Applications Developer
71,63,62,71,79,92,4,4,no,shell programming,cloud computing,IOT,cloud computing,job,yes,Management,yes,Mobile Applications Developer
93,63,93,65,92,63,8,0,yes,full stack,web technologies,parallel computing,system developer,job,yes,Management,no,Mobile Applications Developer
80,62,61,85,89,65,2,4,yes,machine learning,data science,parallel computing,cloud computing,higherstudies,no,Management,no,Mobile Applications Developer
65,70,62,77,92,83,6,3,yes,r programming,testing,programming,Business process analyst,job,no,Management,no,Mobile Applications Developer
83,87,77,79,70,88,4,6,yes,shell programming,hacking,hacking,system developer,job,yes,Technical,yes,Mobile Applications Developer
87,83,92,91,79,64,8,1,yes,machine learning,testing,Software Engineering,testing,job,no,Management,yes,Mobile Applications Developer
92,92,60,94,75,68,4,1,yes,information security,hacking,cloud computing,Business process analyst,higherstudies,yes,Management,no,Mobile Applications Developer
91,92,81,70,60,89,5,2,yes,full stack,system designing,Software Engineering,security,job,no,Technical,yes,Mobile Applications Developer
93,91,91,64,92,84,4,6,no,full stack,game development,hacking,cloud computing,higherstudies,yes,Management,yes,Mobile Applications Developer
70,67,85,92,77,83,7,4,yes,app development,game development,parallel computing,cloud computing,higherstudies,yes,Technical,no,Mobile Applications Developer
85,67,66,77,89,71,8,3,no,shell programming,game development,networks,developer,higherstudies,no,Management,no,Mobile Applications Developer
82,76,88,81,71,67,7,3,yes,shell programming,data science,data engineering,security,job,yes,Technical,yes,Mobile Applications Developer
80,65,66,91,74,60,4,5,no,distro making,web technologies,data engineering,developer,job,no,Technical,yes,Mobile Applications Developer
81,67,62,64,82,85,2,1,no,python,hacking,Computer Architecture,Business process analyst,higherstudies,yes,Management,no,Mobile Applications Developer
78,79,75,88,69,94,4,5,yes,information security,testing,cloud computing,security,job,yes,Management,yes,Mobile Applications Developer
92,67,77,77,64,91,9,2,no,distro making,hacking,IOT,system developer,higherstudies,no,Technical,no,Mobile Applications Developer
81,84,81,71,73,64,2,3,yes,full stack,database security,Software Engineering,developer,higherstudies,yes,Management,no,Mobile Applications Developer
73,93,68,70,92,84,2,5,no,shell programming,data science,Software Engineering,security,job,yes,Technical,no,Mobile Applications Developer
76,84,74,60,61,86,5,0,no,python,game development,data engineering,system developer,higherstudies,no,Technical,no,Mobile Applications Developer
84,65,84,64,87,85,2,1,yes,r programming,testing,parallel computing,testing,higherstudies,yes,Management,no,Mobile Applications Developer
73,66,85,76,84,76,7,6,yes,app development,database security,cloud computing,testing,job,yes,Management,yes,Mobile Applications Developer
73,92,62,90,64,63,5,2,yes,app development,system designing,Software Engineering,system developer,higherstudies,yes,Technical,yes,Mobile Applications Developer
71,84,66,77,62,87,2,2,yes,information security,web technologies,Computer Architecture,system developer,higherstudies,no,Management,yes,Mobile Applications Developer
64,83,60,81,88,73,2,2,yes,information security,database security,data engineering,testing,job,yes,Management,yes,Mobile Applications Developer
60,91,69,72,73,89,5,2,yes,app development,database security,programming,system developer,job,no,Technical,no,Mobile Applications Developer
83,74,62,73,85,61,1,3,yes,r programming,database security,Management,security,higherstudies,no,Management,yes,Mobile Applications Developer
72,84,90,64,85,91,4,5,no,shell programming,hacking,networks,cloud computing,higherstudies,yes,Technical,yes,Mobile Applications Developer
78,76,70,73,94,68,5,1,no,full stack,cloud computing,data engineering,cloud computing,higherstudies,yes,Management,no,Mobile Applications Developer
82,63,74,72,79,74,3,1,no,shell programming,testing,Management,system developer,higherstudies,yes,Management,no,Mobile Applications Developer
91,76,90,60,78,93,5,2,yes,python,hacking,parallel computing,system developer,job,no,Technical,no,Mobile Applications Developer
70,92,77,61,71,75,9,4,no,full stack,game development,cloud computing,system developer,higherstudies,no,Management,yes,Mobile Applications Developer
72,74,77,77,76,67,2,4,no,r programming,data science,Software Engineering,developer,job,yes,Management,yes,Mobile Applications Developer
81,79,86,75,91,65,5,5,no,information security,cloud computing,data engineering,security,higherstudies,no,Technical,yes,Mobile Applications Developer
66,78,69,69,77,93,3,0,yes,python,cloud computing,Computer Architecture,testing,job,yes,Technical,no,Mobile Applications Developer
65,60,89,81,64,71,5,2,yes,information security,testing,cloud computing,security,higherstudies,yes,Management,yes,Mobile Applications Developer
93,85,92,63,87,65,5,3,yes,shell programming,system designing,programming,testing,job,yes,Management,yes,Mobile Applications Developer
91,78,88,66,60,83,8,4,no,shell programming,hacking,parallel computing,Business process analyst,higherstudies,yes,Management,no,Mobile Applications Developer
77,89,60,80,69,92,7,6,no,r programming,cloud computing,networks,developer,higherstudies,yes,Management,yes,Mobile Applications Developer
60,84,72,74,70,81,6,5,yes,machine learning,testing,networks,developer,job,no,Management,no,Mobile Applications Developer
77,67,69,93,81,60,7,5,no,full stack,game development,Software Engineering,system developer,higherstudies,yes,Technical,yes,Mobile Applications Developer
84,87,60,89,81,63,3,5,yes,shell programming,hacking,parallel computing,cloud computing,higherstudies,no,Technical,no,Mobile Applications Developer
69,84,72,89,68,78,5,3,yes,app development,data science,Computer Architecture,system developer,higherstudies,yes,Management,yes,Mobile Applications Developer
64,62,85,87,91,94,5,0,no,distro making,system designing,Computer Architecture,developer,job,no,Management,no,Mobile Applications Developer
94,67,73,91,89,85,7,6,no,python,data science,networks,testing,higherstudies,no,Technical,no,Mobile Applications Developer
72,64,69,94,76,80,4,5,yes,shell programming,web technologies,hacking,system developer,higherstudies,yes,Management,no,Mobile Applications Developer
91,63,77,73,92,80,9,5,no,app development,system designing,Software Engineering,testing,job,yes,Management,no,Mobile Applications Developer
91,90,75,84,76,81,9,0,yes,machine learning,hacking,Computer Architecture,testing,higherstudies,yes,Management,yes,Mobile Applications Developer
94,83,84,64,67,90,3,5,no,distro making,hacking,Computer Architecture,testing,higherstudies,yes,Management,no,Mobile Applications Developer
64,66,78,86,69,61,2,3,yes,hadoop,testing,networks,system developer,job,yes,Management,yes,Mobile Applications Developer
72,69,86,90,85,86,9,5,no,python,data science,parallel computing,testing,job,yes,Technical,no,Mobile Applications Developer
90,80,76,67,74,72,6,1,no,distro making,cloud computing,IOT,testing,higherstudies,yes,Management,no,Mobile Applications Developer
87,67,84,63,85,74,4,0,no,r programming,game development,hacking,system developer,higherstudies,yes,Management,yes,Mobile Applications Developer
91,62,88,66,86,76,5,0,yes,r programming,testing,Computer Architecture,developer,higherstudies,no,Technical,yes,Mobile Applications Developer
67,76,64,61,77,64,6,5,yes,hadoop,testing,data engineering,cloud computing,job,no,Management,no,Mobile Applications Developer
88,71,79,67,70,72,7,1,no,full stack,hacking,data engineering,Business process analyst,job,yes,Technical,yes,Mobile Applications Developer
91,71,76,85,60,61,9,1,no,r programming,web technologies,cloud computing,Business process analyst,job,no,Technical,yes,Mobile Applications Developer
63,89,70,86,74,82,8,0,yes,distro making,hacking,Software Engineering,system developer,higherstudies,yes,Management,yes,Mobile Applications Developer
62,76,78,79,87,79,4,1,yes,app development,testing,cloud computing,cloud computing,higherstudies,no,Technical,yes,Mobile Applications Developer
67,76,68,78,61,90,4,0,no,shell programming,system designing,networks,testing,higherstudies,no,Technical,yes,Mobile Applications Developer
74,78,72,81,87,76,9,3,yes,distro making,system designing,programming,testing,job,no,Management,no,Mobile Applications Developer
67,76,68,72,61,66,2,0,no,full stack,game development,programming,cloud computing,higherstudies,yes,Management,yes,Mobile Applications Developer
71,68,64,75,67,75,1,6,no,shell programming,testing,IOT,cloud computing,job,yes,Management,yes,Mobile Applications Developer
86,82,82,93,67,94,2,1,no,shell programming,data science,networks,Business process analyst,job,yes,Technical,yes,Mobile Applications Developer
82,70,67,75,68,70,7,0,no,hadoop,data science,IOT,testing,higherstudies,yes,Technical,yes,Mobile Applications Developer
82,68,61,92,91,61,6,0,no,python,system designing,Software Engineering,developer,higherstudies,no,Management,yes,Mobile Applications Developer
63,89,60,65,64,93,1,6,yes,full stack,game development,networks,system developer,job,no,Technical,no,Mobile Applications Developer
64,87,68,65,65,78,6,3,yes,machine learning,hacking,networks,Business process analyst,job,no,Management,yes,Mobile Applications Developer
85,70,93,82,80,70,7,0,yes,hadoop,cloud computing,parallel computing,developer,higherstudies,yes,Technical,yes,Mobile Applications Developer
78,67,87,64,83,71,3,5,no,app development,system designing,Management,developer,higherstudies,yes,Technical,no,Mobile Applications Developer
67,90,68,90,75,69,2,0,yes,distro making,testing,Software Engineering,security,higherstudies,yes,Technical,no,Mobile Applications Developer
66,86,92,80,73,71,9,5,yes,information security,cloud computing,cloud computing,cloud computing,higherstudies,no,Management,yes,Mobile Applications Developer
68,81,94,86,94,68,3,0,yes,machine learning,hacking,programming,testing,job,yes,Management,no,Mobile Applications Developer
64,82,79,86,66,77,2,1,yes,hadoop,web technologies,programming,developer,higherstudies,no,Technical,yes,Mobile Applications Developer
68,68,64,78,79,73,1,4,no,machine learning,hacking,cloud computing,Business process analyst,higherstudies,no,Technical,no,Mobile Applications Developer
70,62,86,73,65,81,9,5,yes,hadoop,system designing,programming,system developer,job,no,Technical,yes,Mobile Applications Developer
92,88,80,77,87,71,1,3,no,app development,testing,Computer Architecture,developer,higherstudies,yes,Technical,yes,Mobile Applications Developer
80,72,78,66,75,93,1,3,no,app development,testing,Software Engineering,system developer,job,no,Technical,yes,Mobile Applications Developer
90,66,66,88,93,91,4,6,yes,information security,data science,networks,testing,job,yes,Management,no,Mobile Applications Developer
70,89,94,85,92,83,9,4,yes,hadoop,web technologies,Management,Business process analyst,job,no,Management,no,Mobile Applications Developer
67,81,71,77,82,90,4,5,yes,r programming,cloud computing,data engineering,testing,job,yes,Management,no,Mobile Applications Developer
71,85,64,91,81,71,2,3,yes,app development,hacking,Computer Architecture,system developer,higherstudies,yes,Management,no,Mobile Applications Developer
64,73,63,90,60,61,8,5,yes,r programming,testing,IOT,developer,job,no,Technical,no,Mobile Applications Developer
94,75,88,66,88,74,4,0,no,python,data science,hacking,Business process analyst,higherstudies,yes,Technical,yes,Mobile Applications Developer
87,92,69,62,90,74,4,4,yes,machine learning,web technologies,Management,developer,higherstudies,no,Technical,yes,Mobile Applications Developer
85,62,71,78,91,87,2,2,yes,app development,data science,parallel computing,testing,job,no,Technical,yes,Mobile Applications Developer
61,80,85,79,64,90,9,6,no,app development,database security,Software Engineering,system developer,job,yes,Management,yes,Mobile Applications Developer
77,91,74,93,67,93,9,0,yes,shell programming,system designing,hacking,security,higherstudies,yes,Management,no,Mobile Applications Developer
88,92,85,92,65,65,7,3,yes,full stack,web technologies,IOT,security,higherstudies,yes,Technical,yes,Mobile Applications Developer
74,85,64,72,67,92,5,0,yes,distro making,hacking,hacking,developer,job,no,Technical,yes,Network Engineer
69,67,68,80,84,76,7,0,yes,hadoop,testing,data engineering,security,job,yes,Management,no,Network Engineer
73,68,91,92,87,66,7,0,yes,distro making,testing,Computer Architecture,cloud computing,job,yes,Technical,no,Network Engineer
91,94,76,84,65,81,2,0,yes,distro making,game development,Management,cloud computing,job,yes,Technical,yes,Network Engineer
91,76,85,64,88,69,8,4,yes,r programming,cloud computing,networks,testing,job,yes,Management,yes,Network Engineer
67,86,84,70,76,81,1,5,yes,information security,cloud computing,programming,cloud computing,higherstudies,yes,Technical,no,Network Engineer
65,79,64,84,79,64,7,6,yes,full stack,hacking,programming,developer,job,no,Technical,no,Network Engineer
65,68,73,70,79,89,2,1,yes,machine learning,web technologies,parallel computing,Business process analyst,higherstudies,yes,Management,yes,Network Engineer
71,75,76,77,71,93,3,6,yes,full stack,game development,IOT,security,job,yes,Management,no,Network Engineer
77,73,82,70,78,74,7,5,no,shell programming,game development,parallel computing,security,higherstudies,yes,Technical,yes,Network Engineer
77,63,80,81,82,71,8,4,no,distro making,data science,hacking,system developer,job,yes,Technical,yes,Network Engineer
90,61,91,76,75,87,7,3,no,machine learning,hacking,networks,developer,higherstudies,yes,Management,yes,Network Engineer
71,89,91,88,84,62,8,5,yes,hadoop,data science,cloud computing,cloud computing,higherstudies,yes,Management,no,Network Engineer
78,78,67,71,78,93,7,1,no,distro making,hacking,parallel computing,developer,job,yes,Technical,yes,Network Engineer
77,91,60,86,84,93,5,2,yes,shell programming,web technologies,hacking,testing,higherstudies,yes,Technical,no,Network Engineer
86,74,85,90,67,89,6,2,yes,hadoop,hacking,data engineering,cloud computing,higherstudies,no,Management,no,Network Engineer
70,90,84,63,70,85,2,3,yes,machine learning,game development,hacking,system developer,job,no,Technical,yes,Network Engineer
94,60,64,62,66,63,6,2,no,app development,system designing,programming,testing,job,yes,Technical,yes,Network Engineer
93,87,80,66,82,94,9,6,no,full stack,system designing,Computer Architecture,cloud computing,job,no,Technical,no,Network Engineer
72,76,77,72,60,73,3,6,yes,full stack,cloud computing,cloud computing,developer,job,yes,Technical,no,Network Engineer
68,68,90,92,61,62,5,4,no,hadoop,data science,IOT,security,higherstudies,no,Technical,no,Network Engineer
60,69,93,87,68,94,1,6,no,app development,hacking,Computer Architecture,system developer,job,no,Technical,yes,Network Engineer
91,85,68,93,91,64,7,3,no,r programming,web technologies,data engineering,developer,higherstudies,no,Technical,no,Network Engineer
92,77,89,93,72,80,1,3,yes,information security,cloud computing,cloud computing,testing,job,yes,Technical,no,Network Engineer
72,75,61,85,75,82,6,3,no,shell programming,data science,networks,security,higherstudies,no,Management,yes,Network Engineer
68,84,61,85,88,88,5,4,yes,python,game development,Management,testing,higherstudies,yes,Technical,yes,Network Engineer
91,80,81,60,93,62,9,6,no,shell programming,cloud computing,cloud computing,cloud computing,job,no,Management,yes,Network Engineer
85,87,80,81,84,83,4,1,yes,full stack,game development,programming,developer,higherstudies,no,Management,no,Network Engineer
72,92,66,64,86,90,7,4,yes,machine learning,cloud computing,programming,security,job,no,Management,yes,Network Engineer
62,86,62,80,71,82,5,2,yes,machine learning,cloud computing,programming,cloud computing,higherstudies,no,Management,no,Network Engineer
78,75,76,75,66,65,4,5,yes,r programming,hacking,data engineering,developer,job,no,Management,yes,Network Engineer
64,87,89,80,86,87,7,2,yes,full stack,testing,parallel computing,security,job,yes,Technical,no,Network Engineer
86,64,82,87,85,68,5,4,no,hadoop,testing,Software Engineering,developer,job,yes,Management,yes,Network Engineer
76,75,82,78,89,75,8,1,no,shell programming,database security,hacking,system developer,higherstudies,yes,Technical,yes,Network Engineer
64,65,64,85,60,77,7,5,no,r programming,cloud computing,cloud computing,developer,job,yes,Management,yes,Network Engineer
78,89,84,90,71,86,9,5,no,hadoop,database security,programming,security,higherstudies,yes,Management,no,Network Engineer
62,90,86,63,73,82,7,3,no,full stack,system designing,parallel computing,Business process analyst,job,no,Management,no,Network Engineer
64,68,87,62,72,63,6,1,yes,python,web technologies,cloud computing,Business process analyst,job,no,Management,no,Network Engineer
68,77,65,78,64,68,9,2,no,distro making,web technologies,Computer Architecture,Business process analyst,job,no,Technical,no,Network Engineer
85,67,79,81,84,76,2,1,yes,full stack,system designing,IOT,testing,higherstudies,no,Management,no,Network Engineer
85,61,71,93,75,79,4,3,no,r programming,hacking,data engineering,system developer,higherstudies,yes,Technical,yes,Network Engineer
83,86,87,69,84,70,7,4,no,python,hacking,parallel computing,developer,job,yes,Technical,no,Network Engineer
69,84,82,88,84,76,3,2,yes,python,web technologies,programming,system developer,higherstudies,no,Management,no,Network Engineer
73,61,60,88,70,62,9,1,no,shell programming,testing,IOT,developer,higherstudies,yes,Management,no,Network Engineer
88,73,88,66,71,78,2,4,yes,shell programming,system designing,programming,Business process analyst,higherstudies,yes,Technical,yes,Network Engineer
80,78,84,62,84,60,4,1,no,python,web technologies,networks,testing,job,no,Technical,yes,Network Engineer
71,83,77,88,81,87,2,1,yes,python,system designing,hacking,cloud computing,job,yes,Management,yes,Network Engineer
81,62,60,87,82,61,5,5,yes,python,web technologies,cloud computing,developer,higherstudies,no,Technical,yes,Network Engineer
88,81,93,81,60,80,7,0,yes,r programming,game development,cloud computing,system developer,higherstudies,no,Technical,yes,Network Engineer
75,65,73,91,61,77,5,2,no,information security,system designing,Computer Architecture,Business process analyst,job,yes,Technical,no,Network Engineer
88,89,88,73,68,82,7,5,yes,r programming,system designing,programming,cloud computing,higherstudies,yes,Management,yes,Network Engineer
88,85,67,65,89,94,2,0,yes,app development,database security,networks,Business process analyst,job,yes,Management,no,Network Engineer
75,62,61,80,94,82,6,4,yes,app development,data science,parallel computing,testing,job,yes,Management,yes,Network Engineer
68,74,75,87,65,91,3,0,no,python,testing,networks,Business process analyst,job,no,Technical,yes,Network Engineer
85,93,87,79,78,72,4,5,yes,app development,testing,hacking,Business process analyst,job,no,Management,no,Network Engineer
71,94,67,90,61,65,5,3,no,distro making,data science,programming,Business process analyst,job,no,Management,yes,Network Engineer
80,91,93,74,80,91,8,1,no,r programming,web technologies,cloud computing,testing,higherstudies,yes,Management,no,Network Engineer
75,71,69,84,90,74,8,5,no,distro making,testing,IOT,developer,job,yes,Management,no,Network Engineer
61,91,74,67,86,74,8,3,no,full stack,hacking,Management,testing,job,no,Management,yes,Network Engineer
63,69,75,86,73,62,7,5,yes,shell programming,testing,networks,Business process analyst,job,yes,Management,yes,Network Engineer
69,80,66,76,68,87,2,6,yes,distro making,web technologies,Software Engineering,system developer,higherstudies,yes,Technical,yes,Network Engineer
72,76,88,60,78,72,7,3,no,distro making,web technologies,Software Engineering,Business process analyst,job,yes,Technical,no,Network Engineer
92,81,78,60,84,93,6,4,yes,r programming,testing,Computer Architecture,developer,job,no,Management,no,Network Engineer
68,91,81,86,80,66,9,0,no,shell programming,testing,networks,Business process analyst,job,no,Management,yes,Network Engineer
63,88,89,71,63,86,2,6,yes,app development,data science,IOT,cloud computing,job,no,Management,yes,Network Engineer
71,81,84,94,68,61,7,0,yes,machine learning,web technologies,Management,security,higherstudies,no,Management,yes,Network Engineer
79,76,80,83,91,92,3,6,no,distro making,database security,data engineering,cloud computing,higherstudies,yes,Management,yes,Network Engineer
79,92,83,81,66,61,8,3,no,r programming,testing,hacking,testing,job,no,Technical,no,Network Engineer
81,85,60,75,73,71,9,0,no,shell programming,database security,parallel computing,testing,job,yes,Management,yes,Network Engineer
88,60,77,84,61,63,1,5,no,shell programming,data science,parallel computing,developer,job,no,Management,yes,Network Engineer
88,72,68,73,60,67,9,5,yes,python,data science,cloud computing,security,job,no,Technical,yes,Network Engineer
83,78,61,62,61,77,1,4,no,r programming,cloud computing,Software Engineering,system developer,higherstudies,no,Technical,no,Network Engineer
90,61,85,84,71,69,9,6,yes,distro making,data science,IOT,developer,job,yes,Technical,no,Network Engineer
66,85,94,74,80,61,2,1,no,information security,web technologies,hacking,testing,higherstudies,no,Management,yes,Network Engineer
68,61,80,71,81,64,2,6,yes,hadoop,system designing,parallel computing,testing,job,no,Management,yes,Network Engineer
61,89,91,94,94,90,5,2,no,full stack,testing,Management,developer,higherstudies,no,Technical,yes,Network Engineer
78,69,92,78,65,66,2,1,yes,information security,game development,programming,testing,job,yes,Technical,no,Network Engineer
69,70,86,69,68,86,6,3,no,shell programming,database security,Management,system developer,higherstudies,no,Management,yes,Network Engineer
79,84,79,89,80,86,1,1,yes,shell programming,database security,parallel computing,testing,higherstudies,yes,Technical,yes,Network Engineer
69,94,70,74,81,60,6,6,no,distro making,data science,programming,developer,job,yes,Management,no,Network Engineer
71,82,81,66,85,93,5,3,yes,distro making,hacking,IOT,system developer,higherstudies,yes,Management,yes,Network Engineer
67,60,64,75,84,68,9,4,yes,hadoop,database security,hacking,security,job,no,Management,yes,Network Engineer
88,73,93,62,68,84,5,1,no,python,database security,networks,testing,job,no,Management,yes,Network Engineer
81,88,87,88,84,81,5,6,yes,python,data science,Software Engineering,developer,job,no,Management,no,Network Engineer
74,88,73,63,71,92,3,5,yes,app development,game development,Software Engineering,testing,higherstudies,no,Management,no,Network Engineer
80,86,73,80,93,82,5,5,yes,full stack,database security,parallel computing,testing,job,yes,Management,no,Network Engineer
69,78,72,84,80,62,7,0,yes,information security,database security,programming,developer,job,yes,Management,no,Network Engineer
88,93,65,61,83,94,6,6,no,app development,cloud computing,hacking,Business process analyst,higherstudies,no,Management,yes,Network Engineer
93,60,94,64,91,76,4,0,no,shell programming,cloud computing,parallel computing,security,higherstudies,yes,Technical,yes,Network Engineer
90,75,69,68,61,60,7,0,no,shell programming,testing,Software Engineering,system developer,job,no,Technical,no,Network Engineer
78,86,75,89,91,88,1,1,yes,hadoop,web technologies,parallel computing,Business process analyst,higherstudies,no,Technical,no,Network Engineer
68,74,79,70,66,78,5,6,no,app development,cloud computing,parallel computing,developer,higherstudies,yes,Management,yes,Network Engineer
86,86,82,85,64,85,8,0,yes,app development,testing,data engineering,testing,job,yes,Technical,no,Network Engineer
61,77,77,81,60,78,3,5,no,full stack,web technologies,Software Engineering,cloud computing,job,yes,Technical,no,Network Engineer
70,60,94,70,60,81,2,1,no,r programming,web technologies,data engineering,cloud computing,job,no,Technical,yes,Network Engineer
92,70,80,63,81,79,6,4,yes,distro making,game development,networks,testing,job,yes,Management,yes,Network Engineer
81,60,77,75,76,93,2,0,no,full stack,game development,programming,testing,higherstudies,no,Technical,yes,Network Engineer
80,89,79,65,87,66,8,4,yes,machine learning,cloud computing,data engineering,cloud computing,job,no,Management,yes,Network Engineer
65,70,61,77,92,83,9,3,yes,information security,cloud computing,parallel computing,Business process analyst,job,yes,Technical,yes,Network Engineer
67,61,86,82,77,62,1,4,yes,r programming,web technologies,hacking,testing,higherstudies,no,Technical,no,Network Engineer
71,77,81,79,91,91,5,6,yes,hadoop,hacking,networks,system developer,higherstudies,no,Management,no,Network Engineer
86,67,75,61,90,63,1,4,yes,r programming,database security,cloud computing,cloud computing,job,no,Management,no,Network Engineer
80,64,62,86,74,66,8,2,no,full stack,game development,parallel computing,system developer,higherstudies,yes,Management,no,Network Engineer
89,87,93,79,80,73,8,5,no,shell programming,data science,hacking,Business process analyst,job,no,Technical,no,Network Engineer
92,65,77,69,92,88,8,0,yes,app development,game development,cloud computing,developer,higherstudies,no,Technical,no,Network Engineer
69,79,72,92,69,85,6,3,yes,app development,hacking,cloud computing,developer,job,no,Management,yes,Network Engineer
72,79,67,73,86,70,2,5,no,r programming,data science,cloud computing,testing,higherstudies,yes,Technical,no,Network Engineer
66,79,87,60,77,62,3,5,yes,machine learning,data science,Management,system developer,job,no,Management,no,Network Engineer
69,79,68,91,74,67,9,1,no,information security,cloud computing,hacking,testing,higherstudies,yes,Technical,no,Network Engineer
71,86,74,62,75,79,2,6,no,distro making,data science,cloud computing,security,higherstudies,no,Management,no,Network Engineer
65,87,85,63,76,84,1,4,no,app development,web technologies,hacking,security,higherstudies,yes,Management,yes,Network Engineer
61,84,69,64,93,60,2,1,no,information security,cloud computing,cloud computing,Business process analyst,higherstudies,no,Management,yes,Network Engineer
83,93,67,88,68,68,8,5,yes,machine learning,web technologies,hacking,testing,higherstudies,yes,Management,no,Network Engineer
65,68,94,82,87,65,3,6,yes,full stack,system designing,Management,testing,higherstudies,no,Management,yes,Network Engineer
64,86,67,87,67,92,4,5,yes,python,data science,parallel computing,system developer,higherstudies,yes,Management,no,Network Engineer
78,80,62,63,80,79,7,0,no,shell programming,web technologies,cloud computing,testing,higherstudies,no,Technical,no,Network Engineer
69,79,61,82,72,71,1,4,yes,shell programming,testing,IOT,testing,job,yes,Technical,yes,Network Engineer
78,86,89,89,78,94,4,4,yes,shell programming,cloud computing,hacking,Business process analyst,job,no,Technical,no,Network Engineer
78,62,63,70,60,70,7,5,no,full stack,database security,Management,testing,higherstudies,yes,Technical,no,Network Engineer
65,63,89,93,82,68,7,5,no,python,game development,Management,Business process analyst,higherstudies,yes,Management,no,Network Engineer
63,62,91,84,84,62,4,6,yes,shell programming,web technologies,Software Engineering,developer,higherstudies,no,Technical,yes,Network Engineer
83,92,85,66,94,69,2,2,no,shell programming,system designing,Computer Architecture,system developer,higherstudies,yes,Technical,yes,Network Engineer
74,76,63,80,61,93,6,4,no,full stack,game development,parallel computing,Business process analyst,job,no,Management,no,Network Engineer
70,68,74,75,89,66,6,5,no,full stack,testing,Management,system developer,job,no,Management,no,Network Engineer
67,60,93,67,84,89,3,1,yes,shell programming,web technologies,cloud computing,Business process analyst,higherstudies,yes,Management,yes,Network Engineer
91,94,73,76,80,66,9,4,no,python,database security,hacking,cloud computing,job,yes,Technical,yes,Network Engineer
